2016-2017,2,Bio 150,Miagao,Lec,R105,1,M Th,1:00-2:30,3,35,"GESTUVEO,R",
2016-2017,2,Bio 160,Miagao,Lec,R112,1,M Th,11:30-1:00,3,47,"CAMPOS,W",
2016-2017,2,Bio 180,Miagao,Lab,R125,2,W,8:30-11:30,3,15,"ARBIZO,J",
2016-2017,2,Bio 180,Miagao,Lab,R125,3,W,1:00-4:00,3,15,"ARBIZO,J",
2016-2017,2,Bio 180,Miagao,Lab,R103,1,T F,8:30-10:00,3,13,"ARBIZO,J",
2016-2017,2,Bio 180,Miagao,Lec,R103,1,T F,1:00-2:00,3,26,"ARBIZO,J",
2016-2017,2,Bio 180,Miagao,Lec,R103,2,T F,2:30-3:30,3,17,"ARBIZO,J",
2016-2017,1,Bio 189,Miagao,Lec,R105,1,M Th,11:30-1:00,3,20,"CAMPOS,A",
2016-2017,1,Bio 189,Miagao,Lec,R120,2,M Th,11:30-1:00,3,21,"SADABA,R",
2016-2017,2,Bio 196,Miagao,Sem,R103,1,M,1:30-2:30,1,20,"CAMPOS,A",
2016-2017,2,Bio 196,Miagao,Sem,R103,2,Th,1:30-2:30,1,21,"CAMPOS,A",
2016-2017,2,Bio 199,TBA,TBA,TBA,2,TBA,TBA,3,2,"CAMPOS,A",
2016-2017,2,Bio 199,TBA,TBA,TBA,4,TBA,TBA,3,1,"BAYLON,J",
2016-2017,2,Bio 199,TBA,TBA,TBA,5,TBA,TBA,3,11,"NIEVALES,M",
2016-2017,2,Bio 199,TBA,TBA,TBA,6,TBA,TBA,3,10,"SADABA,R",
2016-2017,2,Bio 199,TBA,TBA,TBA,7,TBA,TBA,3,3,"VILLARTA,K",
2016-2017,2,Bio 199,TBA,TBA,TBA,8,TBA,TBA,3,3,"PADILLA,P",
2016-2017,2,Bio 199,Miagao,Rsrch,TBA,3,TBA,TBA,3,10,"CAMPOS,W",
2016-2017,2,Bio 199,TBA,TBA,TBA,1,TBA,TBA,3,1,"SADABA,R",
2016-2017,1,Bio 20,Miagao,Lec,R103,1,M Th,11:30-1:00,3,39,"SUMAYO,M",
2016-2017,2,Bio 20,Miagao,Lec,R112,1,T F,10:00-11:30,3,38,"SADABA,R",
2016-2017,2,Bio 20,Miagao,Lec,R112,2,T F,11:30-1:00,3,34,"SADABA,R",
2016-2017,1,Bio 221,Iloilo City,Lec,GCEB31B,1,S,8:00-11:00,3,13,"GESTUVEO,R / KATALBAS,M",
2016-2017,1,Bio 237,Iloilo City,Lec,GCEB31B,1,S,11:00-2:00,3,10,"FORMACION,M",
2016-2017,2,Bio 241,Iloilo City,Lec,GCEB31B,1,S,11:00-2:00,3,4,"MALAY,M",
2016-2017,1,Bio 250,Iloilo City,Lec,GCEB31B,1,S,2:00-5:00,3,12,"PADILLA,P",
2016-2017,2,Bio 260,Iloilo City,Lec,GCEB31B,1,S,8:00-11:00,3,12,"VILLARTA,K",
2016-2017,2,Bio 291,Iloilo City,Lec,GCEB31B,1,S,2:00-5:00,3,9,"CAMPOS,W",
2016-2017,1,Bio 296,Iloilo City,Sem,GCEB31B,1,S,5:00-6:00,1,5,"CAMPOS,W",
2016-2017,2,Bio 296,Iloilo City,Sem,BioLab,1,S,2:00-3:00,1,2,"CAMPOS,A",
2016-2017,2,Bio 300,TBA,TBA,TBA,1,TBA,TBA,6,3,TBA,
2016-2017,2,Biology 11,Iloilo City,Lec/Lab,"PF 3, PF 3",STEM,"M Th, W","9:00-10:30, 1:00-4:00",5,50,"NARAGDAO,M",
2016-2017,2,Bot 10,Miagao,Lec,R112,1,M Th,4:00-5:30,5,12,"NIEVALES,M",
2016-2017,2,Bot 10,Miagao,Lab,R120,1,M Th,1:00-4:00,5,12,"NIEVALES,M",
